Term,Class,Title,Description,Status,Days,Time,Seats
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,1:00PM to 2:15PM,Open Seats 5 of 25
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 1 of 28
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,1:00PM to 2:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 393,Machine Learning,"Prerequisite, CPSC 392. This course provides a survey of algorithmic techniques for machine learning, including statistical techniques for pattern recognition. Topics include neural networks, deep learning, support vector machines, and kernel methods. (Offered as needed.) 3 credits.",Open,Monday Wednesday,7:00PM to 8:15PM,Open Seats 11 of 25
Fall 2024,CPSC 393,Machine Learning,"Prerequisite, CPSC 392. This course provides a survey of algorithmic techniques for machine learning, including statistical techniques for pattern recognition. Topics include neural networks, deep learning, support vector machines, and kernel methods. (Offered as needed.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 97 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Open,Tuesday Thursday,8:30PM to 9:45PM,Open Seats 12 of 27
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,7:00PM to 8:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,5:30PM to 6:45PM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 513,Database System Implementation,"Students learn advanced data management concepts and various types of data processing and storage systems (i.e., relational databases, NOSQL, cloud and cluster computing).  Students will discuss several topics: database system architecture, data storage, query optimization, transaction management, data resilience through fault recovery systems, and parallel processing. Letter grade. (Offered as needed.) 3 credits",Open / Enrolled,Monday Wednesday,8:30PM to 9:45PM,Open Seats 1 of 31
Fall 2024,CPSC 540,Statistical Machine Learning I,"This course covers a range of topics in Statistical Machine Learning including the Mathematical foundations of machine learning, data preprocessing (including scaling, dimensionality reduction, and imputation), Bayesian and Frequentist inference (including particular-use models which may include Generalized Linear Models, Generalized Additive Models, Mixed Effect Models, Survival Analysis, and Item Response Theory), longitudinal data models (including repeated measures and time series), and ethical considerations that arise through the application of these topics. This course assumes students have completed undergraduate-level coursework in probability, statistics, linear algebra, and computer programming. Letter grade. (Offered as needed.) 3 credits",Open / Enrolled,Monday Wednesday,5:30PM to 6:45PM,Open Seats 1 of 32
Fall 2024,CENG 231,Systems Programming,"Prerequisite, CPSC 230. Corequisite, CENG 231L. This course introduces students to concepts and techniques in systems programming with the programming languages C and C++ in a *nix environment. Students will gain insight into hardware-software interfaces through hands-on projects involving system calls, concurrency, network programming, memory mapping, and low-level mechanisms for inter-process communication. A laboratory component will allow students to implement conceptual ideas in code for enterprise, real-time, and embedded hardware targets. Letter grade with Pass/No Pass option. (Offered spring semester.) 3 credits",Closed,Tuesday Thursday,8:30AM to 9:45AM,Closed
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Monday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,9:00AM to 9:50AM,Open Seats 15 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,10:00AM to 10:50AM,Open Seats 8 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,10:00AM to 10:50AM,Open Seats 4 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,10:00AM to 10:50AM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Systems Thinking & Design,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Tuesday,5:30PM to 6:20PM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,12:00PM to 12:50PM,Waitlist Available Places 99 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,11:00AM to 11:50AM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Machining Processes,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Friday,9:00AM to 9:50AM,Waitlist Available Places 98 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - 3D Printed Materials,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Friday,10:00AM to 10:50AM,Waitlist Available Places 98 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - C++ Programming,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Tuesday,7:00PM to 7:50PM,Waitlist Available Places 98 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - C++ Programming,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Thursday,7:00PM to 7:50PM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Building Your Personal Brand,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,7:00PM to 7:50PM,Waitlist Available Places 99 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Career Design,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Tuesday,5:30PM to 6:20PM,Waitlist Available Places 98 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Generative AI in Practice,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,12:00PM to 12:50PM,Waitlist Available Places 98 of 100
Fall 2024,CENG 330,Digital Logic Design I,"Prerequisite, CPSC 231 or CENG 231. Corequisite, CENG 330L. Students learn the fundamental principles and practice of digital logic. The course covers binary numbers and arithmetic. Students study Boolean algebra as a method of reasoning about sequential circuits including truth tables and Karnaugh maps, logic minimization, gates and flip-flops, sequential logic and combinatorial logic. The course requires one hour of supervised work in a laboratory in addition to three hours per week of lecture. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,7:00PM to 8:15PM,Open Seats 7 of 23
Fall 2024,CENG 330,Digital Logic Design I,"Prerequisite, CPSC 231 or CENG 231. Corequisite, CENG 330L. Students learn the fundamental principles and practice of digital logic. The course covers binary numbers and arithmetic. Students study Boolean algebra as a method of reasoning about sequential circuits including truth tables and Karnaugh maps, logic minimization, gates and flip-flops, sequential logic and combinatorial logic. The course requires one hour of supervised work in a laboratory in addition to three hours per week of lecture. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Closed,Tuesday Thursday,10:00AM to 11:15AM,Closed
Fall 2024,CENG 330,Digital Logic Design I,"Prerequisite, CPSC 231 or CENG 231. Corequisite, CENG 330L. Students learn the fundamental principles and practice of digital logic. The course covers binary numbers and arithmetic. Students study Boolean algebra as a method of reasoning about sequential circuits including truth tables and Karnaugh maps, logic minimization, gates and flip-flops, sequential logic and combinatorial logic. The course requires one hour of supervised work in a laboratory in addition to three hours per week of lecture. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Closed,Tuesday Thursday,11:30AM to 12:45PM,Closed
Fall 2024,CENG 351,Computer Architecture I,"Prerequisite, CENG 330. Students learn the organization and structure of the major hardware components of computers to understand the mechanics of information transfer and control within a digital computer system and the fundamentals of logic design. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 5 of 23
Fall 2024,CENG 351,Computer Architecture I,"Prerequisite, CENG 330. Students learn the organization and structure of the major hardware components of computers to understand the mechanics of information transfer and control within a digital computer system and the fundamentals of logic design. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,1:00PM to 2:15PM,Waitlist Available Places 99 of 100
Fall 2024,CENG 351,Computer Architecture I,"Prerequisite, CENG 330. Students learn the organization and structure of the major hardware components of computers to understand the mechanics of information transfer and control within a digital computer system and the fundamentals of logic design. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 99 of 100
Fall 2024,CENG 366,Digital Logic Design II,"Prerequisite, CENG 330. Corequisite, CENG 366L. This course introduces combinational and sequential logic circuits, including decoders, multiplexers, flip-flops, arithmetic circuits, and implementations of finite state machines using hardware design languages and FPGA boards. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Closed,Monday Wednesday,2:30PM to 3:45PM,Closed
Fall 2024,CENG 370,Topics in Computer Engineering - Nanoscience & Nanoengineering,Advanced topics in computer engineering. May be repeated for credit. (Offered as needed.) 3 credits.,Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 9 of 25
Fall 2024,CENG 381,Modeling and Simulation,"Prerequisite, CENG 231. Fundamentals and techniques for designing and using simulation, modeling, and optimization algorithms with applications in system performance modeling, business infrastructure modeling, and distributed and parallel computing. An introduction to advanced complex systems models. (Offered as needed.) 3 credits.",Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 13 of 20
Fall 2024,CENG 491,Student-Faculty Research/Creative Activity,"Prerequisite, consent of instructor. Students engage in independent, faculty-mentored scholarly research/creative activity in their discipline which develops fundamentally novel knowledge, content, and/or data. Topics or projects are chosen after discussions between student and instructor who agree upon objective and scope. Pass/No Pass or Letter grade option with consent of instructor. This course may be repeated for credit. (Offered every semester.) 1-3 credits.",Closed,,,
Fall 2024,GAME 230,Introduction to Game Programming,"Prerequisite, MATH 100. Students are introduced to the basics of computer programming and game creation using one of the most popular programming languages in game development, C#. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits",Wait List,Tuesday Thursday,5:30PM to 6:45PM,Waitlist Available Places 99 of 100
Fall 2024,GAME 242,Introduction to the Game Industry,"Students learn the history of electronic games and gaming platforms, the development cycle of electronic games, the roles and responsibilities of the members of a game production team, and the roles of interface design, mathematics, artificial intelligence and storytelling in game development. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Wednesday,7:00PM to 9:50PM,Waitlist Available Places 99 of 100
Fall 2024,GAME 244,Level Design I,"Prerequisites, GAME 230, or CPSC 231, or CPSC 236. Students learn to create interactive simulation software through the use and programming of a professional level editor with an emphasis on scripting techniques. Letter grade with Pass/No Pass option. (Offered spring semester.) 3 credits",Wait List,Monday Wednesday Friday,9:00AM to 9:50AM,Waitlist Available Places 99 of 100
Fall 2024,GAME 245,Unity Programming,"Prerequisite, CPSC 236. Students will gain experience developing software for Unity, a popular cross-platform game engine. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Open,Tuesday Thursday,7:00PM to 8:15PM,Open Seats 3 of 24
Fall 2024,GAME 245,Unity Programming,"Prerequisite, CPSC 236. Students will gain experience developing software for Unity, a popular cross-platform game engine. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Wait List,Monday Wednesday Friday,8:00AM to 8:50AM,Waitlist Available Places 99 of 100
Fall 2024,GAME 340,Game Development,"Prerequisites, GAME 244 and CPSC 231, or CPSC 236. Game Development covers programming techniques for writing a broad range of computer video games including 2D arcade style, isometric, 3D and networked games. Students will learn to program with a professional game development engine. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Open,Monday Wednesday Friday,11:00AM to 11:50AM,Open Seats 3 of 24
Fall 2024,GAME 340,Game Development,"Prerequisites, GAME 244 and CPSC 231, or CPSC 236. Game Development covers programming techniques for writing a broad range of computer video games including 2D arcade style, isometric, 3D and networked games. Students will learn to program with a professional game development engine. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Wait List,Monday Wednesday Friday,10:00AM to 10:50AM,Waitlist Available Places 100 of 100
Fall 2024,EENG 200,Electronics and Circuits I,"Prerequisite, MATH 110 or MATH 115. Corequisite, EENG 200L. Students begin their study of electronics and circuits by studying electricity (current, energy, voltage, power), electronic components (resistors, capacitors, diodes, etc), and fundamental laws for circuits. Students will gain hands on experience building circuits with solderless breadboards in a separate laboratory component. (Offered spring semester.) 3 credits.",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 98 of 100
Fall 2024,EENG 201,Digital Signals and Filters,"Prerequisite, MATH 111 or MATH 116. Students are introduced to concepts of signal processing focusing on spectrum representation, sampling and aliasing, FIR and IIR filters, frequency response of FIR filters, discrete Fourier and z-Transforms. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits.",Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 1 of 25
Fall 2024,EENG 300,Electronics and Circuits II,"Prerequisite, EENG 200. Corequisite, EENG 300L. Students continue their study of circuits, moving into digital and mixed signal circuit design. Topics include transistors, diodes, AC and DC analysis, analyzing circuit response, and integrated circuits. Students will gain hands on experience in the lab by prototyping circuits, simulating complex designs, and designing and analyzing simple PCB circuits. (Offered fall semester.) 3 credits.",Open,Monday Wednesday,1:00PM to 2:15PM,Open Seats 3 of 24
Fall 2024,EENG 310,Mathematical Methods for Physics and Engineering,"(Same as PHYS 310.) Prerequisite, MATH 215. Students are introduced to advanced mathematical methods that form the foundation for physics and engineering. The class covers topics including matrix theory, complex variables, Laplace and Fourier series, partial differential equations, probability theory, and mathematical statistics. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Open,Tuesday Thursday,10:00AM to 11:15AM,Open Seats 2 of 27
Fall 2024,EENG 398,Topics in Advanced Engineering Applications - Advanced MEMS,This course provides a deep dive into very specific advanced engineering topics or technologies. Pass/No Pass. Repeatable for credit if the topic is different. (Offered as needed.) 1 credits.,Open,Monday,7:00PM to 7:50PM,Open Seats 2 of 22
Fall 2024,EENG 398,Topics in Advanced Engineering Applications - Statistical Data,This course provides a deep dive into very specific advanced engineering topics or technologies. Pass/No Pass. Repeatable for credit if the topic is different. (Offered as needed.) 1 credits.,Open,Monday,9:00AM to 9:50AM,Open Seats 11 of 20
Fall 2024,EENG 430,Electromagnetics II,"Prerequisites, EENG 310, EENG 330. Students are introduced to advanced concepts in electromagnetic field theory.  The covered topics include time-varying Maxwell's equations, Poynting's theorem, plane wave propagation, and transmission lines. In addition, students will be introduced to the basics of wave confinement in waveguides and antenna radiation. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 14 of 18
Fall 2024,EENG 512,Modern Optics and Nanophotonics,"Students are introduced to advanced concepts in Nanophotonics and Optics. The covered topics include polarization optics, optical waveguides, resonators, and couplers, periodic structures and photonic crystals, nanostructured metamaterials, fundamentals of quantum optics, and lasers. Letter grade. (Offered as needed.) 3 credits",Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 14 of 22
Fall 2024,SE 300,Software Requirements and Testing,"Prerequisite, CPSC 231. Corequisite, SE 310. Students are introduced to the tools and techniques used to elicit, capture, and test software requirements from the perspective of delivering a working software system. In addition to covering standard terminology for software requirements specifications, this course gives an in-depth treatment of formal testing techniques used to ensure software quality and requirement satisfaction. (Offered fall semester.) 3 credits.",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 99 of 100
Fall 2024,SE 310,Software Design,"Prerequisite, CPSC 231. Corequisite, SE 300. Students gain hands-on experience designing software from a formal set of functional and non-functional software requirements. (Offered fall semester.) 3 credits.",Wait List,Tuesday Thursday,5:30PM to 6:45PM,Waitlist Available Places 100 of 100
